longitude,latitude,altitude,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio,NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],penalty lifetime [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Total curtailment [GWh],Total curtailment with deg [GWh],Awpp [km2],Apvp [km2],Plant area [km2],Rotor diam [m],Hub height [m],Number of batteries used in lifetime,Break-even PPA price [Euro/MWh],Capacity factor wind [-],AEP [GWh],AEP with degradation [GWh],site,weather_year,lifetime_years,price_added,input_rows_per_year,input_rows_lifetime,Mean Annual Wind Electricity [GWh],Mean Annual Solar Electricity [GWh],Mean Annual Battery Discharge [GWh],Capacity factor solar [-],Solar production source,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR [-],DSCR Avg [-],LLCR [-],DSCR Breach Years,Loan to Value [-],Debt Headroom [MEuro],Debt Headroom [% of CAPEX],LLCR P50 [-],LLCR P90 [-],LTV P50 [-],LTV P90 [-]
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.07408550717583598,88.75524359915283,0.06597700592614508,55.965712589723616,135.22792657361137,1198.0108793545735,31.599736617809782,870.9937073545735,31.336704417809784,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2222.7365256415924,0.5074740926122356,500.0,495.0,24.0,0.0,0.0,186.3550853123002,166.95410092479247,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,57.62092969005588,0.49975858031593023,2233.565762251522,2229.4146896785833,Golfe_du_Lion,1982,25,30,8760,219000,2167.053155965937,34.6196208,0.0,0.16466714611872144,SP,103.62818995580159,0.0,838.6076155482014,65.6015216321561,1.5796613764063336,1.5796613764063339,1.579661376406332,0,0.9214691362370278,265.3224346532196,0.22146913623702788,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,-0.09492131376605557,-113.71676657436362,0.0,55.4014643580976,119.03706958724158,1198.0108793545735,31.71471351762938,870.9937073545735,31.451681317629383,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2247.4962806651215,0.5131270047180643,500.0,495.0,24.0,0.0,0.0,252.63018772739127,227.3048701089891,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,57.03808802235505,0.5057711856776579,2260.8133182623387,2256.5884754694816,Golfe_du_Lion,1983,25,30,8760,219000,2193.1250153354604,35.657520000000005,0.0,0.16960388127853882,SP,87.3223560696122,0.0,838.6076155482014,65.6015216321561,1.3311026009312734,1.3311026009312734,1.3311026009312725,0,0.7764765172099095,91.6196996326189,0.07647651720990954,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.14241987255643954,170.62055675890642,0.07219411109767049,51.03504651825809,142.867485191419,1198.0108793545735,32.641974801219256,870.9937073545735,32.37894260121926,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2458.011799037315,0.561189908456008,500.0,495.0,24.0,0.0,0.0,230.6293997722604,206.88666957842224,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,52.53113502645764,0.5542614143599642,2470.474606490833,2466.287265820452,Golfe_du_Lion,1984,25,30,8760,219000,2403.3883449476766,35.4979224,0.0,0.1688447602739726,SP,110.22551039019976,0.0,838.6076155482014,65.6015216321561,1.6802279527639823,1.6802279527639825,1.6802279527639807,0,0.9801329724456562,335.6023486558312,0.28013297244565627,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.3644687015617976,436.6374696552688,0.09131835311525016,56.646126521583376,163.1100908411007,1198.0108793545735,31.460013826489824,870.9937073545735,31.196981626489826,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2193.5116406943857,0.5008017444507731,500.0,495.0,24.0,0.0,0.0,153.33364210580837,137.35435706611037,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,58.32387799072086,0.49245191258037585,2203.2440792350376,2199.0058149770302,Golfe_du_Lion,1985,25,30,8760,219000,2135.3699833310257,35.9448672,0.0,0.1709706392694064,SP,131.6500770146109,0.0,838.6076155482014,65.6015216321561,2.00681438081277,2.00681438081277,2.006814380812768,0,1.1706417221407823,563.8339034028296,0.4706417221407824,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.10673716014474045,127.87227908481044,0.06897021146841453,52.42844189504944,139.10163726695276,1198.0108793545735,32.31982642950613,870.9937073545735,32.05679422950613,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2386.4833538242347,0.54485921320188,500.0,495.0,24.0,0.0,0.0,190.9200381830013,171.06191421081232,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,53.96976394489617,0.5374149779881949,2397.5208666887847,2393.325830392667,Golfe_du_Lion,1986,25,30,8760,219000,2330.3388275524107,35.5470552,0.0,0.1690784589041096,SP,106.78181083744664,0.0,838.6076155482014,65.6015216321561,1.6277337503876597,1.6277337503876597,1.6277337503876579,0,0.9495113543928014,298.91731708507075,0.2495113543928015,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.38622548069541063,462.7023277570517,0.09311616547830281,54.456796123721766,165.65719407106783,1198.0108793545735,31.904897574637403,870.9937073545735,31.6418653746374,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2289.98916609334,0.5228285767336392,500.0,495.0,24.0,0.0,0.0,227.17675281673897,204.4265453306398,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,56.06295471404118,0.5157166763168709,2302.289012636756,2298.166227906566,Golfe_du_Lion,1987,25,30,8760,219000,2236.2506518452155,34.64722079999999,0.0,0.16479842465753425,SP,133.75229649643043,0.0,838.6076155482014,65.6015216321561,2.0388596661890332,2.0388596661890332,2.038859666189031,0,1.189334805276936,586.228420368621,0.4893348052769359,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,-0.047541563405486736,-56.95531018129837,0.0,52.95130371048047,124.11077786149878,1198.0108793545735,32.2161462783814,870.9937073545735,31.953114078381404,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2360.9929776468043,0.5390394926134257,500.0,495.0,24.0,0.0,0.0,249.23100241948762,224.82775386545399,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,54.50903671078698,0.5319931251330963,2374.1916726761074,2369.9860878014224,Golfe_du_Lion,1988,25,30,8760,219000,2306.828589202132,35.8495152,0.0,0.17051710045662102,SP,91.89463158311737,0.0,838.6076155482014,65.6015216321561,1.4008003061025507,1.4008003061025507,1.4008003061025494,0,0.8171335118931544,140.32722158500735,0.11713351189315445,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,-0.047764297238346555,-57.22214773626478,0.0,58.150677446322895,123.0611995221371,1198.0108793545735,31.190882393717253,870.9937073545735,30.92785019371725,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2132.121956053789,0.4867858347154769,500.0,495.0,24.0,0.0,0.0,191.14133132636687,171.91857717496373,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,59.876803631923636,0.4783779455640728,2143.3014358273485,2138.9986991407873,Golfe_du_Lion,1989,25,30,8760,219000,2074.3424475549323,37.0447896,0.0,0.17620238584474887,SP,91.87031712841986,0.0,838.6076155482014,65.6015216321561,1.4004296675244723,1.4004296675244723,1.4004296675244707,0,0.816917306055942,140.06820463984707,0.11691730605594217,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,-0.15837129946679557,-189.73053973874227,0.0,59.739408443189134,112.11380993022789,1198.0108793545735,30.917391833875296,870.9937073545735,30.654359633875295,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2070.7992153037667,0.47278520897346266,500.0,495.0,24.0,0.0,0.0,161.6831723428915,145.30321118041363,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,61.517031666967775,0.4640760222293182,2080.890326690005,2076.611343750983,Golfe_du_Lion,1990,25,30,8760,219000,2012.3264475907695,36.5711568,0.0,0.17394956621004565,SP,81.19641809635259,0.0,838.6076155482014,65.6015216321561,1.2377215661496528,1.2377215661496528,1.2377215661496515,0,0.7220042469206307,26.36132720292005,0.022004246920630785,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
4.294,43.012,100,27.0,343.0,15.0,33,5.8004,24.0,3.8879,180.0,1.15365,0.0,4.0,2.9459999999999997,0.2350012853329008,281.5340964911235,0.08034929768887289,52.954039390864814,151.37310676007417,1198.0108793545735,32.213816105031384,870.9937073545735,31.950783905031383,13.517172,0.2630322,0.0,0.0,313.5,0.0,0.0,2360.8262359747214,0.5390014237385209,500.0,495.0,24.0,0.0,0.0,233.13384423452135,209.11456748244132,85.33894214192125,0.384,85.33894214192125,235.96828103188196,144.98414051594096,0.0,54.51188749054528,0.5318712709797832,2373.378917297232,2369.1908186740193,Golfe_du_Lion,1991,25,30,8760,219000,2306.3002052225356,35.609352,0.0,0.16937477168949772,SP,119.15929065504278,0.0,838.6076155482014,65.6015216321561,1.8164104686961116,1.8164104686961116,1.8164104686961098,0,1.059572773406065,430.77209446016275,0.359572773406065,1.5104771132479722,1.3428064215838824,0.8811116493946514,0.783303745923932
